text,option,percent_price_increase,amount_price_increase,product_name,internal_name
Welke maximale dekking wil je?,"€ 500.000,- per claim, per jaar € 1.000.000,-","38,45",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid ICT
Welke maximale dekking wil je?,"€ 1.250.000,- per claim, per jaar € 2.500.000,-",94,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid ICT
Welke maximale dekking wil je?,"€ 500.000,- per claim, per jaar € 500.000,-",26,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid ICT
Welke maximale dekking wil je?,"€ 1.000.000,- per claim, per jaar € 1.000.000,-","57,33",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid ICT
Welke maximale dekking wil je?,"€ 1.000.000,- per claim, per jaar € 2.000.000,-",73,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid ICT
Welke maximale dekking wil je?,"€ 250.000,- per claim, per jaar € 500.000,-",10,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid ICT
Welke maximale dekking wil je?,"€ 500.000,- per claim, per jaar € 500.000,-",25,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid zorg
Welke maximale dekking wil je?,"€ 500.000,- per claim, per jaar € 1.000.000,-","37,5",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid zorg
Welke maximale dekking wil je?,"€ 250.000,- per claim, per jaar € 500.000,-",10,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid zorg
Welke maximale dekking wil je?,"€ 1.000.000,- per claim, per jaar € 1.000.000,-","56,25",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid zorg
Welke maximale dekking wil je?,"€ 1.000.000,- per claim, per jaar € 2.000.000,-","71,88",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid zorg
Welke maximale dekking wil je?,"€ 1.250.000,- per claim, per jaar € 2.500.000,-","92,5",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid zorg
Welke maximale dekking wil je?,"€ 250.000,- per claim, per jaar € 500.000,-",10,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid cons
Welke maximale dekking wil je?,"€ 500.000,- per claim, per jaar € 500.000,-",25,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid cons
Welke maximale dekking wil je?,"€ 500.000,- per claim, per jaar € 1.000.000,-",38,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid cons
Welke maximale dekking wil je?,"€ 1.000.000,- per claim, per jaar € 1.000.000,-","56,25",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid cons
Welke maximale dekking wil je?,"€ 1.000.000,- per claim, per jaar € 2.000.000,-",72,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid cons
Welke maximale dekking wil je?,"€ 1.250.000,- per claim, per jaar € 2.500.000,-",93,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid cons
Welke maximale dekking wil je?,"€ 500.000,- per claim, per jaar € 500.000,-","29,03",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid admin
Welke maximale dekking wil je?,"€ 500.000,- per claim, per jaar € 1.000.000,-",42,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid admin
Welke maximale dekking wil je?,"€ 250.000,- per claim, per jaar € 500.000,-",9,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid admin
Welke maximale dekking wil je?,"€ 1.000.000,- per claim, per jaar € 1.000.000,-","61,29",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid admin
Welke maximale dekking wil je?,"€ 1.000.000,- per claim, per jaar € 2.000.000,-","77,42",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid admin
Welke maximale dekking wil je?,"€ 1.250.000,- per claim, per jaar € 2.500.000,-",99,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid admin
Welke maximale dekking wil je?,"€ 500.000,- per claim, per jaar € 500.000,-",10,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid TB
Welke maximale dekking wil je?,"€ 1.250.000,- per claim, per jaar € 2.500.000,-","40,45",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid TB
Welke maximale dekking wil je?,"€ 500.000,- per claim, per jaar € 1.000.000,-","15,6",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid TB
Welke maximale dekking wil je?,"€ 1.000.000,- per claim, per jaar € 2.000.000,-","27,43",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid TB
Welke maximale dekking wil je?,"€ 1.000.000,- per claim, per jaar € 1.000.000,-","21,36",0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid TB
Welke maximale dekking wil je?,"€ 250.000,- per claim, per jaar € 500.000,-",5,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid TB
Wat is je verwachte bruto jaaromzet?,€ 150.000 tot € 250.000,40,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid admin
Wat is je verwachte bruto jaaromzet?,€ 150.000 tot € 250.000,40,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid advocaten
Wat is je verwachte bruto jaaromzet?,€ 150.000 tot € 250.000,40,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid cons
Wat is je verwachte bruto jaaromzet?,€ 150.000 tot € 250.000,40,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid ICT
Wat is je verwachte bruto jaaromzet?,€ 150.000 tot € 250.000,40,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid TB
Wat is je verwachte bruto jaaromzet?,€ 150.000 tot € 250.000,40,0,Beroepsaansprakelijkheidsverzekering,Beroepsaansprakelijkheid zorg
